Coutry;City;Borough;Neighbourhood;Area;Population;Density
Denmark;Copenhagen;Østerbro;;8.74;79276;9,070
Denmark;Copenhagen;Valby;;9.23;56274;6,097
Denmark;Copenhagen;Vanløse;;6.69;40843;6,105
Denmark;Copenhagen;Vesterbro Kongens Enghave;;8.18;67884;8,299
Bulgaria;Sofia;Sredets;;3;32,423;10,808
Bulgaria;Sofia;Krasno selo;;7;83,552;11,936
Bulgaria;Sofia;Vazrazhdane;;3;37,303;12,434
Bulgaria;Sofia;Oborishte;;3;31,060;10,353
Bulgaria;Sofia;Serdika;;18;46,949;2,608
Bulgaria;Sofia;Poduyane;;11;76,672;6,970
Bulgaria;Sofia;Slatina;;13;66,702;5,131
Bulgaria;Sofia;Izgrev;;5;30,896;6,179
Bulgaria;Sofia;Lozenets;;9;53,080;5,898
Bulgaria;Sofia;Triaditsa;;10;63,451;6,345
Bulgaria;Sofia;Krasna polyana;;9;58,234;6,470
Bulgaria;Sofia;Ilinden;;3;33,236;11,079
Bulgaria;Sofia;Nadezhda;;19;67,905;3,574
Bulgaria;Sofia;Iskar;;26;63,248;2,433
Bulgaria;Sofia;Mladost;;17;102,899;6,053
Bulgaria;Sofia;Studentski;;9;71,961;7,996
Bulgaria;Sofia;Vitosha;;123;61,467;500
Bulgaria;Sofia;Ovcha kupel;;42;54,320;1,293
Bulgaria;Sofia;Lyulin;;22;114,910;5,223
Bulgaria;Sofia;Vrabnitsa;;44;47,969;1,090
Bulgaria;Sofia;Novi Iskar;;220;28,991;132
Bulgaria;Sofia;Kremikovtsi;;256;23,641;92
Bulgaria;Sofia;Pancharevo;;407;28,586;70
Bulgaria;Sofia;Bankya;;53;12,136;229
Austria;Vienna;Innere Stadt;;2.88;16,306;5,662
Austria;Vienna;Leopoldstadt;;19.27;104,946;5,446
Austria;Vienna;Landstraße;;7.42;91,745;12,365
Austria;Vienna;Wieden;;1.80;33,263;18,479
Austria;Vienna;Margareten;;2.03;55,407;27,294
Austria;Vienna;Mariahilf;;1.48;31,864;21,530
Austria;Vienna;Neubau;;1.61;32,288;20,055
Austria;Vienna;Josefstadt;;1.08;25,466;23,580
Austria;Vienna;Alsergrund;;2.99;41,958;14,033
Austria;Vienna;Favoriten;;31.8;204,142;6,420
Austria;Vienna;Simmering;;23.23;103,008;4,434
Austria;Vienna;Meidling;;8.21;97,634;11,892
Austria;Vienna;Hietzing;;37.7;53,778;1,426
Austria;Vienna;Penzing;;33.96;92,990;2,738
Austria;Vienna;Rudolfsheim-Fünfhaus;;3.92;77,621;19,801
Austria;Vienna;Ottakring;;8.67;103,785;11,971
Austria;Vienna;Hernals;;11.35;57,292;5,048
Austria;Vienna;Währing;;6.28;51,587;8,214
Austria;Vienna;Döbling;;24.9;72,947;2,930
Austria;Vienna;Brigittenau;;5.68;86,502;15,229
Austria;Vienna;Floridsdorf;;44.46;165,673;3,726
Austria;Vienna;Donaustadt;;102.34;191,008;1,866
Austria;Vienna;Liesing;;32.00;106,281;3,321
Hungary;Budapest;District I;Buda Castle, Tabán, Gellérthegy, Krisztinaváros, southern Víziváros;3.41;24,528;7,193
Hungary;Budapest;District II;Adyliget, Budakeszierdő, Budaliget, Csatárka, Erzsébetliget, Erzsébettelek, Felhévíz, Gercse, Hársakalja, Hárshegy, Hűvösvölgy, Kővár, Kurucles, Lipótmező, Máriaremete, Nyék, Országút, Pálvölgy, Pasarét, Pesthidegkút-Ófalu, Petneházy-rét, Remetekertváros, Rézmál, Rózsadomb, Szemlőhegy, Széphalom, Szépilona, Szépvölgy, Törökvész, Újlak, Vérhalom, northern Víziváros, Zöldmál.;36.34;88,011;2,422
Hungary;Budapest;District III;Óbuda, Aquincum, Aranyhegy, Békásmegyer, Csillaghegy, Csúcshegy, Filatorigát, Hármashatár-hegy, Kaszásdűlő, Mátyáshegy, Mocsárosdűlő, Óbudai-sziget, Remetehegy, Rómaifürdő, Solymárvölgy, Szépvölgy, Táborhegy, Testvérhegy, Törökkő, Ürömhegy, Újlak.;39.69;123,889;3,121
Hungary;Budapest;District IV;Újpest, Megyer, Káposztásmegyer, Székesdűlő, Istvántelek.;18.82;99,050;5,263
Hungary;Budapest;District V;Inner City, Lipótváros;2.59;27,342;10,557
Hungary;Budapest;District VI;Terézváros;2.38;43,377;18,226
Hungary;Budapest;District VII;Erzsébetváros;2.09;64,767;30,989
Hungary;Budapest;District VII;Józsefváros, Kerepesdűlő, Tisztviselőtelep;6.85;85,173;12,434
Hungary;Budapest;District IX;Ferencváros, Gubacsidűlő, József Attila-lakótelep;12.53;63,697;5,084
Hungary;Budapest;District X;Felsőrákos, Gyárdűlő, Keresztúridűlő, Kőbánya-Kertváros;32.5;81,475;2,507
Hungary;Budapest;District XI;Albertfalva, Dobogó, Gazdagrét, Gellérthegy, Hosszúrét, Kamaraerdő, Kelenföld, Kelenvölgy, Kőérberek, Lágymányos, Madárhegy, Őrmező, Örsöd, Péterhegy, Pösingermajor, Sasad, Sashegy, Spanyolrét, Tabán;33.47;145,510;4,347
Hungary;Budapest;District XII;Budakeszierdő, Csillebérc, Farkasrét, Farkasvölgy, Istenhegy, Jánoshegy, Kissvábhegy, Krisztinaváros, Kútvölgy, Magasút, Mártonhegy, Németvölgy, Orbánhegy, Sashegy, Svábhegy, Széchenyihegy, Virányos.;26.67;55,776;2,091
Hungary;Budapest;District XIII;Újlipótváros, Angyalföld, Vizafogó, Népsziget, Göncz Árpád városközpont;13.44;118,320;8,804
Hungary;Budapest;District XIV;Alsórákos, Herminamező, Istvánmező, Kiszugló, Nagyzugló, Rákosfalva, Törökőr, City Park;18.15;123,786;6,820
Hungary;Budapest;District XV;Rákospalota, Pestújhely, Újpalota;26.95;79,779;2,960
Hungary;Budapest;District XVI;Mátyásföld, Sashalom, Cinkota, Rákosszentmihály, Árpádföld, Kisszentmihály, Ilonatelep, Petőfikert, Nagyiccetelep, Szentgyörgytelep, Szabadságtelep, Huszkatelep;33.52;68,235;2,036
